"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"34";"VMBO B - techniek";"20";"20";"100";"<5";"<5";"100";"21";"21";"100";"8";"8";"100";"<5";"<5";"100";"9";"9";"100";"8";"8";"100";"0";"0";"0";"8";"8";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"35";"VMBO B - zorg en welzijn";"<5";"<5";"100";"10";"10";"100";"13";"13";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"36";"VMBO B - economie";"11";"11";"100";"9";"9";"100";"20";"20";"100";"28";"28";"100";"10";"10";"100";"38";"38";"100";"22";"22";"100";"10";"10";"100";"32";"32";"100";"15";"15";"100";"9";"9";"100";"24";"24";"100";"14";"14";"100";"12";"12";"100";"26";"26";"100"
"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"38";"VMBO K - techniek";"7";"7";"100";"<5";"<5";"100";"8";"8";"100";"6";"6";"100";"<5";"<5";"100";"8";"8";"100";"9";"9";"100";"<5";"<5";"100";"10";"10";"100";"12";"12";"100";"<5";"<5";"100";"13";"13";"100";"9";"9";"100";"<5";"<5";"100";"10";"10";"100"
"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"39";"VMBO K - zorg en welzijn";"<5";"<5";"100";"9";"9";"100";"11";"11";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"40";"VMBO K - economie";"38";"38";"100";"24";"24";"100";"62";"62";"100";"26";"26";"100";"19";"19";"100";"45";"45";"100";"18";"17";"94.4";"21";"21";"100";"39";"38";"97.4";"10";"9";"90";"13";"13";"100";"23";"22";"95.7";"23";"21";"91.3";"24";"23";"95.8";"47";"44";"93.6"
"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"90";"VMBO T - techniek";"16";"16";"100";"7";"7";"100";"23";"23";"100";"7";"6";"85.7";"6";"5";"83.3";"13";"11";"84.6";"9";"9";"100";"<5";"<5";"100";"12";"12";"100";"11";"11";"100";"6";"6";"100";"17";"17";"100";"8";"8";"100";"0";"0";"0";"8";"8";"100"
"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"91";"VMBO T - zorg en welzijn";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"100";"<5";"<5";"75";"9";"8";"88.9"
"00WD";"00WD00";"sg Panta Rhei";"AMSTELVEEN";"VMBO";"92";"VMBO T - economie";"6";"6";"100";"9";"9";"100";"15";"15";"100";"5";"5";"100";"15";"14";"93.3";"20";"19";"95";"7";"6";"85.7";"<5";"<5";"100";"10";"9";"90";"6";"6";"100";"8";"6";"75";"14";"12";"85.7";"8";"5";"62.5";"9";"7";"77.8";"17";"12";"70.6"
"02QZ";"02QZ00";"Keizer Karel College";"AMSTELVEEN";"HAVO";"50";"HAVO - N&T";"<5";"0";"0";"<5";"<5";"100";"<5";"<5";"50";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"6";"<5";"66.7";"<5";"<5";"100";"8";"6";"75";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
