"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM VESTIGING";"GEMEENTENAAM";"ONDERWIJSTYPE VO";"INSPECTIECODE";"OPLEIDINGSNAAM";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - MAN";"GESLAAGDEN SCHOOLJAAR 2019-2020 - MAN";"SLAAGPERC SCHOOLJAAR 2019-2020 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - VROUW";"GESLAAGDEN SCHOOLJAAR 2019-2020 - VROUW";"SLAAGPERC SCHOOLJAAR 2019-2020 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2019-2020 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2019-2020 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - MAN";"GESLAAGDEN SCHOOLJAAR 2020-2021 - MAN";"SLAAGPERC SCHOOLJAAR 2020-2021 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - VROUW";"GESLAAGDEN SCHOOLJAAR 2020-2021 - VROUW";"SLAAGPERC SCHOOLJAAR 2020-2021 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2020-2021 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2020-2021 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - MAN";"GESLAAGDEN SCHOOLJAAR 2021-2022 - MAN";"SLAAGPERC SCHOOLJAAR 2021-2022 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - VROUW";"GESLAAGDEN SCHOOLJAAR 2021-2022 - VROUW";"SLAAGPERC SCHOOLJAAR 2021-2022 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2021-2022 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2021-2022 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - MAN";"GESLAAGDEN SCHOOLJAAR 2022-2023 - MAN";"SLAAGPERC SCHOOLJAAR 2022-2023 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - VROUW";"GESLAAGDEN SCHOOLJAAR 2022-2023 - VROUW";"SLAAGPERC SCHOOLJAAR 2022-2023 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2022-2023 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2022-2023 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - MAN";"GESLAAGDEN SCHOOLJAAR 2023-2024 - MAN";"SLAAGPERC SCHOOLJAAR 2023-2024 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - VROUW";"GESLAAGDEN SCHOOLJAAR 2023-2024 - VROUW";"SLAAGPERC SCHOOLJAAR 2023-2024 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2023-2024 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2023-2024 - TOTAAL"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"HAVO";"50";"HAVO - N&T";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"<5";"<5";"50";"<5";"<5";"100";"5";"<5";"60";"5";"<5";"80";"6";"6";"100";"11";"10";"90.9";"10";"9";"90";"5";"5";"100";"15";"14";"93.3";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"HAVO";"51";"HAVO - N&G";"11";"11";"100";"19";"19";"100";"30";"30";"100";"16";"12";"75";"24";"21";"87.5";"40";"33";"82.5";"9";"8";"88.9";"14";"12";"85.7";"23";"20";"87";"16";"13";"81.2";"20";"12";"60";"36";"25";"69.4";"15";"14";"93.3";"26";"19";"73.1";"41";"33";"80.5"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"HAVO";"52";"HAVO - E&M";"18";"17";"94.4";"19";"19";"100";"37";"36";"97.3";"16";"14";"87.5";"24";"22";"91.7";"40";"36";"90";"18";"16";"88.9";"14";"14";"100";"32";"30";"93.8";"26";"22";"84.6";"22";"17";"77.3";"48";"39";"81.2";"15";"14";"93.3";"16";"13";"81.2";"31";"27";"87.1"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"HAVO";"53";"HAVO - C&M";"<5";"<5";"100";"8";"8";"100";"9";"9";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"14";"12";"85.7";"16";"14";"87.5";"<5";"<5";"66.7";"11";"10";"90.9";"14";"12";"85.7"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"HAVO";"54";"HAVO - N&T / N&G";"5";"5";"100";"<5";"<5";"100";"9";"9";"100";"<5";"<5";"100";"<5";"<5";"100";"7";"7";"100";"<5";"<5";"75";"<5";"<5";"100";"6";"5";"83.3";"5";"<5";"80";"8";"7";"87.5";"13";"11";"84.6";"<5";"<5";"75";"<5";"<5";"75";"8";"6";"75"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"HAVO";"59";"HAVO - E&M / C&M";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"VWO";"60";"VWO - N&T";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"10";"8";"80";"<5";"<5";"100";"12";"10";"83.3";"7";"6";"85.7";"0";"0";"0";"7";"6";"85.7";"8";"6";"75";"<5";"<5";"100";"11";"9";"81.8"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"VWO";"61";"VWO - N&G";"6";"6";"100";"13";"13";"100";"19";"19";"100";"7";"6";"85.7";"6";"6";"100";"13";"12";"92.3";"11";"10";"90.9";"18";"17";"94.4";"29";"27";"93.1";"6";"<5";"50";"10";"8";"80";"16";"11";"68.8";"8";"8";"100";"23";"21";"91.3";"31";"29";"93.5"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"VWO";"62";"VWO - E&M";"6";"6";"100";"0";"0";"0";"6";"6";"100";"5";"5";"100";"8";"8";"100";"13";"13";"100";"7";"7";"100";"<5";"<5";"66.7";"10";"9";"90";"10";"9";"90";"<5";"<5";"75";"14";"12";"85.7";"7";"7";"100";"7";"6";"85.7";"14";"13";"92.9"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"VWO";"63";"VWO - C&M";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"66.7";"<5";"<5";"66.7";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"6";"6";"100"
