BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,candidates_total
00AH00,Het Stedelijk Kottenpark,ENSCHEDE,7522 GK,HAVO/VWO,40.52,53.27,0.1477,0.1855,878
00AH07,Het Stedelijk College Zuid,ENSCHEDE,7541 WG,HAVO/VWO,12.7,17.45,0.0519,0.0699,845
00AH08,Het Stedelijk Zwering,ENSCHEDE,7545 BN,VMBO,0.0,15.27,0.0,0.0617,402
00AH09,Het Stedelijk Innova,ENSCHEDE,7533 BM,HAVO/VWO,0.0,4.85,0.0,0.0206,296
00AH17,Het Stedelijk Alpha,ENSCHEDE,7543 BK,VMBO,0.0,32.01,0.0,0.1206,561
00AQ00,Zwin College SGM,SLUIS,4501 BE,HAVO/VWO,14.69,20.54,0.0595,0.0811,690
00BD00,Coenecoop College,WADDINXVEEN,2741 ST,HAVO/VWO,11.53,17.88,0.0474,0.0714,1100
00CB00,SGM VO Vrije Schoolond,NIJMEGEN,6524 AJ,HAVO/VWO,26.56,28.73,0.1023,0.1097,694
00CB01,SGM VO Vrije Schoolond,ZEIST,3707 GL,HAVO/VWO,25.83,19.27,0.0998,0.0765,816
00CB02,SGM VO Vrije Schoolond,EINDHOVEN,5631 KA,HAVO/VWO,17.72,21.75,0.0708,0.0855,472
00DI00,rsg de Borgen,WESTERKWARTIER,9351 HC,VMBO,0.0,24.87,0.0,0.0965,550
00DI01,rsg de Borgen,NOORDENVELD,9301 TJ,VMBO,0.0,19.2,0.0,0.0763,325
00DI02,rsg de Borgen,WESTERKWARTIER,9351 HC,HAVO/VWO,26.62,39.42,0.1025,0.1443,1109
00DI03,rsg de Borgen,WESTERKWARTIER,9861 CR,VMBO,0.0,31.46,0.0,0.1188,195
00DI06,rsg de Borgen,WESTERKWARTIER,9351 HC,VMBO,0.0,11.4,0.0,0.0469,292
00EF00,VOvA(3),AMSTERDAM,1079 PR,VMBO,0.0,0.0,0.0,0.0,658
00HI00,SGM Dalton College Voorburg,LEIDSCHENDAM-VOORBURG,2271 TM,HAVO/VWO,27.91,26.92,0.1069,0.1035,1168
00HI03,François Vatel vmbo,'S-GRAVENHAGE,2592 TD,VMBO,0.0,26.47,0.0,0.102,384
00IP00,Kath SGM Hoofddorp,HAARLEMMERMEER,2135 BA,HAVO/VWO,14.18,19.08,0.0576,0.0759,1364
00JR00,SGM Spieringshoek,SCHIEDAM,3118 LA,HAVO/VWO,29.7,41.22,0.1129,0.1499,1194
00JT00,GSG Guido,AMERSFOORT,3813 DH,HAVO/VWO,35.0,29.95,0.1303,0.1138,762
00JT02,GSG Guido,AMERSFOORT,3817 CB,VMBO,0.0,11.77,0.0,0.0483,676
00JT03,GSG Guido Guido De Bres,ARNHEM,6823 JH,HAVO/VWO,0.0,12.22,0.0,0.0501,209
00KV00,KSE 00KV,ETTEN-LEUR,4873 EB,HAVO/VWO,23.18,24.95,0.0905,0.0967,2399
00LJ00,Chr Coll Schaersvoorde,AALTEN,7122 AW,HAVO/VWO,30.98,36.1,0.1172,0.1339,622
00LJ01,Chr Coll Schaersvoorde,AALTEN,,VMBO,0.0,11.27,0.0,0.0464,113
00LJ02,Chr Coll Schaersvoorde,WINTERSWIJK,7101 CE,VMBO,0.0,13.83,0.0,0.0563,148
00LJ05,Chr Coll Schaersvoorde,AALTEN,7122 VM,VMBO,0.0,32.07,0.0,0.1208,845
00MK00,Kath SGM De Breul,ZEIST,3708 AG,HAVO/VWO,38.58,34.83,0.1417,0.1298,1610
00ML00,Meerscholen - Het Nieuwe Eemla,AMERSFOORT,3818 KG,HAVO/VWO,30.64,32.01,0.1161,0.1206,1132
00ML02,Meerscholen - Muurhuizen,AMERSFOORT,3815 DL,HAVO/VWO,0.0,0.0,0.0,0.0,966
00ML05,'t Hooghe Landt,AMERSFOORT,3822 CK,HAVO/VWO,0.0,42.42,0.0,0.1536,662
00ML09,Meerscholen - Het Element,AMERSFOORT,3812 PT,VMBO,0.0,30.54,0.0,0.1157,542
00ML12,'t Hooghe Landt,AMERSFOORT,3815 AG,HAVO/VWO,49.52,32.94,0.1747,0.1236,787
00MP00,De Noordgouw,HEERDE,8181 EW,HAVO/VWO,22.29,29.53,0.0874,0.1124,954
00MV00,Scholen aan Zee,DEN HELDER,1784 MC,HAVO/VWO,20.24,25.08,0.0801,0.0972,1141
00MV01,"Locatie, Schakel aan Zee",DEN HELDER,1784 MC,VMBO,0.0,21.16,0.0,0.0834,461
00MV02,"Loc,Beroepsonderwijs aan Zee",DEN HELDER,1784 MC,VMBO,0.0,19.19,0.0,0.0762,672
00NE00,Delta vmbo,HELMOND,5709 AB,VMBO,0.0,14.83,0.0,0.0601,419
