BRIN,vestigingsnaam,gemeente,type,X_linear,Y_linear,X_log,Y_log,pupils_total
00AP00,Wereldwijs,Zoetermeer,Bo,30.53,279.95,0.1157,0.5797,83
00AR00,"BS ""De Maasparel",Maasgouw,Bo,27.27,292.57,0.1047,0.5939,98
00AV00,De Morgenster,Nissewaard,Bo,26.21,247.24,0.1011,0.5406,53
00AZ00,De Stapsteen,Molenlanden,Bo,26.29,362.05,0.1014,0.6647,77
00BA00,OBS De Klimboom,Overbetuwe,Bo,34.55,259.0,0.1289,0.5551,11
00BB00,Obs Letterwies,Oldambt,Bo,17.21,230.22,0.0689,0.5188,50
00BS00,Geref Basisschool,Dalfsen,Bo,24.66,355.48,0.0957,0.6585,97
00BW00,Jenaplanschool De Vlieger,Sittard-Geleen,Bo,22.1,224.43,0.0867,0.5111,82
00BZ00,Geref SBO Het Speelwerk,Zwolle,Sbo,0.19,216.81,0.0008,0.5008,88
00CD00,Basisschool De Lockaert,Oss,Bo,31.28,298.9,0.1182,0.6009,119
00CG00,De Harlekijn,Landgraaf,Bo,31.23,215.57,0.118,0.4991,318
00CS00,De Leilinde,Oldambt,Bo,26.09,206.48,0.1007,0.4864,60
00CU00,Basisschool Zilverlinde,Roosendaal,Bo,30.67,245.95,0.1162,0.539,50
00CV00,School Matthijsje,Weststellingwerf,Bo,28.26,344.62,0.1081,0.648,45
00DA00,Chr BS Betrouwen,Opsterland,Bo,21.33,350.0,0.084,0.6532,36
00DD00,Basissch Het Startnest,Uithoorn,Bo,21.99,378.1,0.0863,0.6795,182
00DM00,De Bolderik,Bernheze,Bo,33.08,400.24,0.1241,0.6992,99
00DN00,De Bundeling,Meerssen,Bo,34.08,358.05,0.1273,0.6609,127
00DO00,Van Rijckevorsel,Rotterdam,Bo,15.5,328.48,0.0626,0.6319,87
00DW00,De Trompetter,Zevenaar,Bo,35.26,357.57,0.1312,0.6605,126
00DX00,Vrije School Assen,Assen,Bo,30.25,226.38,0.1148,0.5137,118
00DY00,Basisschool het Sterrenlicht,Elburg,Bo,15.28,313.95,0.0617,0.617,106
00DZ00,Agnietenschool,Elburg,Bo,45.46,303.05,0.1627,0.6054,162
00EB00,Bs Het Telraam,Boxmeer,Bo,22.11,341.38,0.0867,0.6448,125
00EH00,Geref SSBO De Cirkel,Capelle aan den IJssel,Sbo,1.18,259.48,0.0051,0.5557,71
00EI00,Reform Basisschool,Hoeksche Waard,Bo,14.15,323.19,0.0575,0.6265,115
